"legacy_docx","new_markdown","category","status","notes"
"Bananenbrot.docx","recipes/10-desserts-sweets/bananenbrot.md","10-desserts-sweets","finalized","legacy import removed; structured recipe finalized"
"Miso-Auberginen.docx","recipes/03-main-vegetarian/miso-auberginen.md","03-main-vegetarian","finalized","legacy import removed; structured recipe finalized"
"Thunfisch-Frikadellen.docx","recipes/04-main-fish-seafood/thunfisch-frikadellen.md","04-main-fish-seafood","finalized","legacy import removed; structured recipe finalized"
"GANZ VIELE GERICHTE.docx","recipes/99-base-recipes/ganz-viele-gerichte.md","99-base-recipes","finalized","legacy import removed; structured recipe finalized"
"Afghanisches Ragout mit Quitten und Backpflaumen.docx","recipes/02-soups-stews/afghanisches-ragout-mit-quitten-und-backpflaumen.md","02-soups-stews","finalized","legacy import removed; structured recipe finalized"
"Auberginen-Tamarinde Auflauf.docx","recipes/03-main-vegetarian/auberginen-tamarinde-auflauf.md","03-main-vegetarian","finalized","legacy import removed; reconstructed recipe finalized"
"Auberginenauflauf mit Feta.docx","recipes/03-main-vegetarian/auberginenauflauf-mit-feta.md","03-main-vegetarian","finalized","legacy import removed; structured recipe finalized"
"Backkartoffeln mit Rosmarin.docx","recipes/09-salads-sides/backkartoffeln-mit-rosmarin.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Balsamico Fenchel.docx","recipes/09-salads-sides/balsamico-fenchel.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Couscous-Salat.docx","recipes/09-salads-sides/couscous-salat.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Flammkuchen.docx","recipes/07-bakes-savory/flammkuchen.md","07-bakes-savory","finalized","legacy import removed; structured recipe finalized"
"Fleisch-Brot.docx","recipes/05-main-meat/fleisch-brot.md","05-main-meat","finalized","legacy import removed; structured recipe finalized"
"Gurkensalat.docx","recipes/09-salads-sides/gurkensalat.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Kartoffelsalat.docx","recipes/09-salads-sides/kartoffelsalat.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Linsensalat.docx","recipes/09-salads-sides/linsensalat.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"cocos-pandan-rice.docx","recipes/10-desserts-sweets/cocos-pandan-rice.md","10-desserts-sweets","finalized","legacy import removed; structured recipe finalized"
"rigatoni-chickpea Auflauf mit Zucchini und Feta.docx","recipes/06-pasta-rice-grains/rigatoni-chickpea-auflauf-mit-zucchini-und-feta.md","06-pasta-rice-grains","finalized","legacy import removed; structured recipe finalized"
"Fotzelschnitten mit Apfelmus.docx","recipes/10-desserts-sweets/fotzelschnitten-mit-apfelmus.md","10-desserts-sweets","finalized","legacy import removed; structured recipe finalized"
"Gefüllte Pepperoni aus dem Ofen.docx","recipes/01-starters-mezze/gefuellte-pepperoni-aus-dem-ofen.md","01-starters-mezze","finalized","legacy import removed; structured recipe finalized"
"Geröstete Pepperoni Salat mit Kichererbsen.docx","recipes/01-starters-mezze/geroestete-pepperoni-salat-mit-kichererbsen.md","01-starters-mezze","finalized","legacy import removed; structured recipe finalized"
"Glühwein, non-alc.docx","recipes/12-drinks/gluehwein-non-alc.md","12-drinks","finalized","legacy import removed; structured recipe finalized"
"Hack-Tomaten-Kartoffeln Eintopf.docx","recipes/02-soups-stews/hack-tomaten-kartoffeln-eintopf.md","02-soups-stews","finalized","legacy import removed; structured recipe finalized"
"Hefeteig Zopfteig.docx","recipes/08-bread-dough-basics/hefeteig-zopfteig.md","08-bread-dough-basics","finalized","legacy import removed; structured recipe finalized"
"Hörnli-Auflauf.docx","recipes/06-pasta-rice-grains/hoernli-auflauf.md","06-pasta-rice-grains","finalized","legacy import removed; structured recipe finalized"
"Köfte.docx","recipes/05-main-meat/koefte.md","05-main-meat","finalized","legacy import removed; structured recipe finalized"
"Kümmel Reis.docx","recipes/06-pasta-rice-grains/kuemmel-reis.md","06-pasta-rice-grains","finalized","legacy import removed; structured recipe finalized"
"Omeletten.docx","recipes/11-breakfast-brunch/omeletten.md","11-breakfast-brunch","finalized","legacy import removed; structured recipe finalized"
"Pandankuchen.docx","recipes/10-desserts-sweets/pandankuchen.md","10-desserts-sweets","finalized","legacy import removed; structured recipe finalized"
"Pasta mit Pesto.docx","recipes/06-pasta-rice-grains/pasta-mit-pesto.md","06-pasta-rice-grains","finalized","legacy import removed; structured recipe finalized"
"Pesto Salat mit Gurke und Cherrytomaten.docx","recipes/09-salads-sides/pesto-salat-mit-gurke-und-cherrytomaten.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Pide mit Spinat und Feta.docx","recipes/07-bakes-savory/pide-mit-spinat-und-feta.md","07-bakes-savory","finalized","legacy import removed; structured recipe finalized"
"Pizza.docx","recipes/07-bakes-savory/pizza.md","07-bakes-savory","finalized","legacy import removed; structured recipe finalized"
"Pizzabeläge.docx","recipes/99-base-recipes/pizzabelaege.md","99-base-recipes","finalized","legacy import removed; structured recipe finalized"
"Quiche vegi.docx","recipes/03-main-vegetarian/quiche-vegi.md","03-main-vegetarian","finalized","legacy import removed; structured recipe finalized"
"Quinoasalat.docx","recipes/09-salads-sides/quinoasalat.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Risotto.docx","recipes/06-pasta-rice-grains/risotto.md","06-pasta-rice-grains","finalized","legacy import removed; structured recipe finalized"
"Rösti.docx","recipes/09-salads-sides/roesti.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Rüeblisalat mit Rosinli.docx","recipes/09-salads-sides/rueeblisalat-mit-rosinli.md","09-salads-sides","finalized","legacy import removed; structured recipe finalized"
"Safranbrot.docx","recipes/08-bread-dough-basics/safranbrot.md","08-bread-dough-basics","finalized","legacy import removed; structured recipe finalized"
